C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0008060	MmuEX0007098	MmuEX0007327
MmuEX0008088	MmuEX0007124	MmuEX0007383
MmuEX0008146	MmuEX0007135	MmuEX0007451
MmuEX0008173	MmuEX0007149	MmuEX0007452
MmuEX0008175	MmuEX0007220	MmuEX0007514
MmuEX0008208	MmuEX0007295	MmuEX0007538
MmuEX0008209	MmuEX0007297	MmuEX0007548
MmuEX0008214	MmuEX0007302	MmuEX0007563
MmuEX0008218	MmuEX0007304	MmuEX0007606
MmuEX0008246	MmuEX0007379	MmuEX0007651
MmuEX0008249	MmuEX0007438	MmuEX0007745
MmuEX0008282	MmuEX0007511	MmuEX0007800
MmuEX0008295	MmuEX0007522	MmuEX0007819
MmuEX0008329	MmuEX0007639	MmuEX0007830
MmuEX0008334	MmuEX0007642	MmuEX0007883
MmuEX0008364	MmuEX0007645	MmuEX0007893
MmuEX0008425	MmuEX0007670	MmuEX0007945
MmuEX0008449	MmuEX0007672	MmuEX0007981
MmuEX0008560	MmuEX0007704	MmuEX0007989
MmuEX0008565	MmuEX0007731	MmuEX0008027
MmuEX0008573	MmuEX0007753	MmuEX0008028
MmuEX0008628	MmuEX0007786	MmuEX0008070
MmuEX0008826	MmuEX0007798	MmuEX0008074
MmuEX0008837	MmuEX0007828	MmuEX0008078
MmuEX0008846	MmuEX0007847	MmuEX0008090
MmuEX0008904	MmuEX0007914	MmuEX0008182
MmuEX0008933	MmuEX0007916	MmuEX0008266
MmuEX0008939	MmuEX0007917	MmuEX0008365
MmuEX0009051	MmuEX0008058	MmuEX0008392
MmuEX0009241	MmuEX0008125	MmuEX0008400
MmuEX0009243	MmuEX0008223	MmuEX0008426
MmuEX0009255	MmuEX0008231	MmuEX0008434
MmuEX0009295	MmuEX0008247	MmuEX0008468
MmuEX0009313	MmuEX0008315	MmuEX0008541
MmuEX0009345	MmuEX0008325	MmuEX0008640
MmuEX0009351	MmuEX0008393	MmuEX0008643
MmuEX0009398	MmuEX0008465	MmuEX0008710
MmuEX0009416	MmuEX0008515	MmuEX0008865
MmuEX0009479	MmuEX0008625	MmuEX0009030
MmuEX0009480	MmuEX0008639	MmuEX0009081
MmuEX0009498	MmuEX0008820	MmuEX0009447
MmuEX0009509	MmuEX0008905	MmuEX0009455
MmuEX0009538	MmuEX0008910	MmuEX0009497
MmuEX0009573	MmuEX0008911	MmuEX0009514
MmuEX0009577	MmuEX0008940	MmuEX0009515
MmuEX0009663	MmuEX0009189	MmuEX0009518
MmuEX0009736	MmuEX0009191	MmuEX0009525
MmuEX0009783	MmuEX0009227	MmuEX0009699
MmuEX0009819	MmuEX0009297	MmuEX0009705
MmuEX0009828	MmuEX0009352	MmuEX0009706
MmuEX0009836	MmuEX0009405	MmuEX0009786
MmuEX0009864	MmuEX0009445	MmuEX0009824
MmuEX0009883	MmuEX0009482	MmuEX0009825
MmuEX0009884	MmuEX0009489	MmuEX0009838
MmuEX0009885	MmuEX0009491	MmuEX0009896
MmuEX0009886	MmuEX0009572	MmuEX0009918
MmuEX0009904	MmuEX0009719	MmuEX0009929
MmuEX0009908	MmuEX0009720	MmuEX0009955
MmuEX0009999	MmuEX0009742	MmuEX0010028
MmuEX0010004	MmuEX0009785	MmuEX0010725
MmuEX0010005	MmuEX0009835	MmuEX0010729
MmuEX0010040	MmuEX0009874	MmuEX0010801
MmuEX0010041	MmuEX0009912	MmuEX0010854
MmuEX0010042	MmuEX0009923	MmuEX0010865
MmuEX0010048	MmuEX0009924	MmuEX0010928
MmuEX0010062	MmuEX0009947	MmuEX0010983
MmuEX0010081	MmuEX0010006	MmuEX0010992
MmuEX0010110	MmuEX0010090	MmuEX0010993
MmuEX0010308	MmuEX0010145	MmuEX0011011
MmuEX0010311	MmuEX0010208	MmuEX0011133
MmuEX0010355	MmuEX0010246	MmuEX0011136
MmuEX0010373	MmuEX0010289	MmuEX0011137
MmuEX0010444	MmuEX0010314	MmuEX0011173
MmuEX0010451	MmuEX0010344	MmuEX0011272
MmuEX0010540	MmuEX0010367	MmuEX0011409
MmuEX0010579	MmuEX0010398	MmuEX0011437
MmuEX0010584	MmuEX0010447	MmuEX0011444
MmuEX0010589	MmuEX0010538	MmuEX0011458
MmuEX0010648	MmuEX0010554	MmuEX0011474
MmuEX0010662	MmuEX0010578	MmuEX0011546
MmuEX0010664	MmuEX0010599	MmuEX0011547
MmuEX0010683	MmuEX0010601	MmuEX0011762
MmuEX0010736	MmuEX0010676	MmuEX0011769
MmuEX0010788	MmuEX0010684	MmuEX0011815
MmuEX0010828	MmuEX0010775	MmuEX0011908
MmuEX0010861	MmuEX0010789	MmuEX0011949
MmuEX0010885	MmuEX0010791	MmuEX0011952
MmuEX0010892	MmuEX0010815	MmuEX0012002
MmuEX0010901	MmuEX0010817	MmuEX0012026
MmuEX0010914	MmuEX0010843	MmuEX0012035
MmuEX0011119	MmuEX0010856	MmuEX0012045
MmuEX0011182	MmuEX0010857	MmuEX0012098
MmuEX0011190	MmuEX0011008	MmuEX0012331
MmuEX0011193	MmuEX0011025	MmuEX0012363
MmuEX0011195	MmuEX0011126	MmuEX0012445
MmuEX0011252	MmuEX0011134	MmuEX0012477
MmuEX0011334	MmuEX0011275	MmuEX0012494
MmuEX0011404	MmuEX0011278	MmuEX0012495
MmuEX0011462	MmuEX0011441	MmuEX0012590
MmuEX0011473	MmuEX0011454	MmuEX0012595
MmuEX0011486	MmuEX0011501	MmuEX0012596
MmuEX0011579	MmuEX0011505	MmuEX0012632
MmuEX0011584	MmuEX0011688	MmuEX0012675
MmuEX0011591	MmuEX0011709	MmuEX0012694
MmuEX0011600	MmuEX0011712	MmuEX0012705
MmuEX0011708	MmuEX0011931	MmuEX0012758
MmuEX0011723	MmuEX0011959	MmuEX0012788
