C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0026179	MmuINT0026174	MmuINT0036303	MmuINT0041282	MmuINT0030263	MmuINT0031187
MmuINT0026341	MmuINT0026197	MmuINT0036514	MmuINT0041450	MmuINT0030379	MmuINT0031204
MmuINT0026408	MmuINT0026348	MmuINT0036622	MmuINT0041470	MmuINT0030452	MmuINT0031692
MmuINT0026478	MmuINT0026372	MmuINT0037136	MmuINT0041811	MmuINT0030540	MmuINT0031697
MmuINT0026480	MmuINT0026396	MmuINT0037326	MmuINT0042057	MmuINT0030548	MmuINT0031745
MmuINT0026866	MmuINT0026848	MmuINT0038230	MmuINT0042117	MmuINT0030573	MmuINT0031800
MmuINT0027140	MmuINT0026870	MmuINT0040022	MmuINT0042119	MmuINT0030677	MmuINT0031932
MmuINT0029476	MmuINT0027046	MmuINT0041018	MmuINT0042584	MmuINT0031454	MmuINT0032293
MmuINT0029857	MmuINT0027112	MmuINT0041106	MmuINT0042673	MmuINT0032710	MmuINT0032721
MmuINT0030091	MmuINT0027119	MmuINT0041145	MmuINT0042699	MmuINT0033060	MmuINT0033004
MmuINT0030176	MmuINT0027186	MmuINT0041244	MmuINT0043205	MmuINT0033372	MmuINT0033694
MmuINT0030353	MmuINT0028257	MmuINT0042120	MmuINT0043643	MmuINT0033543	MmuINT0033748
MmuINT0030546	MmuINT0028276	MmuINT0043591	MmuINT0045049	MmuINT0033687	MmuINT0033987
MmuINT0030747	MmuINT0028596	MmuINT0044666	MmuINT0046272	MmuINT0033709	MmuINT0034335
MmuINT0031076	MmuINT0028697	MmuINT0044697	MmuINT0046352	MmuINT0033947	MmuINT0034626
MmuINT0031079	MmuINT0028807	MmuINT0045142	MmuINT0046435	MmuINT0034092	MmuINT0034747
MmuINT0031163	MmuINT0029053	MmuINT0045668	MmuINT0047323	MmuINT0034253	MmuINT0034867
MmuINT0031306	MmuINT0029062	MmuINT0045809	MmuINT0047914	MmuINT0034414	MmuINT0035226
MmuINT0031638	MmuINT0029240	MmuINT0045942	MmuINT0048926	MmuINT0034478	MmuINT0035440
MmuINT0032786	MmuINT0029243	MmuINT0046291	MmuINT0048990	MmuINT0034496	MmuINT0035486
MmuINT0033047	MmuINT0029315	MmuINT0046452	MmuINT0049015	MmuINT0034914	MmuINT0035641
MmuINT0033733	MmuINT0029565	MmuINT0046782	MmuINT0049075	MmuINT0035264	MmuINT0035769
MmuINT0033744	MmuINT0029678	MmuINT0047238	MmuINT0049123	MmuINT0035706	MmuINT0035886
MmuINT0034073	MmuINT0030045	MmuINT0047490	MmuINT0049460	MmuINT0035828	MmuINT0036415
MmuINT0034140	MmuINT0030288	MmuINT0047905	MmuINT0049895	MmuINT0036063	MmuINT0036523
MmuINT0034494	MmuINT0030346	MmuINT0047974	MmuINT0050051	MmuINT0036117	MmuINT0036540
MmuINT0034886	MmuINT0030629	MmuINT0048214	MmuINT0051185	MmuINT0036132	MmuINT0036782
MmuINT0034941	MmuINT0030773	MmuINT0048578	MmuINT0051475	MmuINT0036413	MmuINT0036942
MmuINT0035261	MmuINT0030890	MmuINT0048579	MmuINT0051859	MmuINT0036522	MmuINT0037427
MmuINT0035371	MmuINT0030987	MmuINT0048754	MmuINT0052357	MmuINT0036527	MmuINT0038644
MmuINT0035393	MmuINT0030991	MmuINT0048993	MmuINT0052594	MmuINT0036700	MmuINT0038718
MmuINT0035654	MmuINT0031006	MmuINT0049109	MmuINT0052632	MmuINT0037632	MmuINT0038737
MmuINT0036280	MmuINT0031028	MmuINT0049132	MmuINT0052866	MmuINT0037803	MmuINT0038740
MmuINT0036381	MmuINT0031124	MmuINT0049392	MmuINT0052867	MmuINT0038123	MmuINT0039649
MmuINT0036557	MmuINT0031130	MmuINT0049495	MmuINT0054023	MmuINT0038130	MmuINT0040460
MmuINT0037120	MmuINT0031203	MmuINT0050031	MmuINT0054589	MmuINT0038179	MmuINT0040955
MmuINT0037571	MmuINT0031431	MmuINT0050082	MmuINT0054590	MmuINT0038495	MmuINT0041012
MmuINT0037633	MmuINT0031486	MmuINT0050614	MmuINT0054833	MmuINT0039647	MmuINT0041279
MmuINT0038028	MmuINT0031657	MmuINT0051262	MmuINT0055210	MmuINT0040757	MmuINT0041492
MmuINT0038625	MmuINT0031848	MmuINT0051335	MmuINT0055231	MmuINT0040845	MmuINT0041716
MmuINT0038738	MmuINT0032034	MmuINT0051879	MmuINT0055250	MmuINT0041333	MmuINT0041935
MmuINT0040715	MmuINT0032038	MmuINT0052437	MmuINT0055506	MmuINT0041546	MmuINT0041942
MmuINT0040765	MmuINT0032341	MmuINT0052744	MmuINT0055508	MmuINT0041807	MmuINT0042182
MmuINT0040772	MmuINT0032751	MmuINT0052848	MmuINT0055759	MmuINT0041945	MmuINT0042183
MmuINT0040909	MmuINT0032760	MmuINT0053168	MmuINT0055771	MmuINT0042027	MmuINT0042266
MmuINT0041092	MmuINT0032951	MmuINT0055004	MmuINT0055950	MmuINT0042059	MmuINT0042522
MmuINT0041169	MmuINT0033605	MmuINT0055754	MmuINT0056149	MmuINT0042336	MmuINT0042653
MmuINT0041256	MmuINT0033619	MmuINT0056147	MmuINT0056153	MmuINT0042655	MmuINT0042667
